Num_Acc,dep,lat,long,date,hrmn,atm,mortel
201900032442,75,48.8960320,2.3741710,2019-04-10,16:40,2,False
201900032460,75,48.8665490,2.3340750,2019-04-08,21:36,1,False
201900032482,43,45.3486160,3.3419870,2019-07-25,07:49,7,False
201900032515,38,45.1438700,6.0581800,2019-07-26,09:10,1,False
201900032526,988, -20.7778900,167.1284600,2019-07-28,04:10,8,True
201900032532,84,44.0997250,5.0614700,2019-07-28,11:10,1,False
201900032533,13,43.5043580,5.2207080,2019-07-24,12:17,1,False
201900032542,3,46.3170801,3.3953399,2019-07-26,09:30,1,False
201900032544,63,45.5740651,2.8861494,2019-07-27,14:20,2,False
201900032557,69,45.8523992,4.7960784,2019-07-26,18:20,1,False
201900032571,76,49.7071088,1.4918661,2019-07-28,19:10,1,False
201900032627,72,47.9790200,0.2255200,2019-07-23,17:30,1,False
201900032631,67,48.5695960,7.7804700,2019-07-23,15:30,1,False
201900032636,64,43.2965000, -0.3752400,2019-07-23,15:10,1,False
201900032646,35,48.1374620, -1.6864830,2019-07-24,07:05,1,False
201900032649,34,43.3106600,3.5185200,2019-07-24,07:40,1,False
201900032675,29,47.9397068, -4.0711050,2019-05-19,11:55,1,False
201900032696,27,49.2023200,1.2009100,2019-05-23,23:10,2,False
201900032699,27,49.0066600,1.1576600,2019-05-25,19:05,1,False
201900032700,26,44.9500600,4.8920600,2019-05-16,12:25,1,False
201900032710,25,46.9112800,6.3529400,2019-05-15,18:25,1,False
201900032713,25,46.9057500,6.3497800,2019-05-04,11:46,8,False
201900032714,25,47.2251700,6.0318800,2019-05-23,14:00,1,False
201900032716,25,47.2368900,6.0221000,2019-05-21,23:40,1,False
201900032717,25,47.2463400,5.9980800,2019-05-20,23:13,8,False
201900032728,22,48.5181100, -2.8099300,2019-05-15,19:55,1,False
201900032734,22,48.7630090, -3.4726179,2019-05-14,10:50,1,False
201900032764,17,45.6586340, -1.0758270,2019-04-30,19:30,1,False
201900032767,17,46.1582300, -1.1438700,2019-05-28,09:20,1,False
201900032772,17,46.1579100, -1.1555800,2019-05-22,21:35,1,False
201900032774,17,46.1761900, -1.1114800,2019-05-21,12:20,1,False
201900032775,17,46.1473500, -1.1518300,2019-05-16,17:25,1,False
201900032783,17,46.1627600, -1.1523900,2019-05-02,17:00,1,False
201900032784,17,46.1612700, -1.1455200,2019-05-02,08:30,1,False
201900032786,17,46.1694310, -1.1480540,2019-04-29,09:30,1,False
201900032787,17,45.9234140, -0.9692010,2019-05-18,07:50,2,False
201900032788,17,45.9305800, -0.9606600,2019-05-10,08:30,1,False
201900032799,14,49.1830300, -0.3557900,2019-05-27,18:35,1,False
201900032859,63,45.7933884,3.0842028,2019-11-04,13:00,1,False
201900032889,4,43.8028210,5.7784700,2019-12-14,17:40,1,False
201900032901,76,49.4487700,1.0995200,2019-11-07,07:40,1,False
201900032934,64,43.3025000, -0.3752800,2019-11-08,20:20,2,False
201900032941,972,14.6114800, -61.0785300,2019-12-15,08:30,1,False
201900032954,49,47.4565900, -0.5704000,2019-11-07,13:58,1,False
201900032956,49,47.4819100, -0.4915700,2019-11-07,18:40,2,False
201900032957,49,47.4757900, -0.5491800,2019-11-07,20:30,2,False
201900032988,29,48.4046007, -4.5231639,2019-11-08,18:10,1,False
201900032990,30,43.8485053,4.3988358,2019-12-15,15:17,1,False
201900032992,26,44.9318200,4.8938900,2019-11-07,11:34,1,False
201900033018,75,48.8578254,2.2288065,2019-12-15,16:10,1,False
201900033023,5,44.5498300,6.0651900,2019-11-06,16:02,3,False
201900033034,75,48.8502790,2.3299380,2019-11-08,16:30,1,False
201900033036,75,48.8418703,2.3322345,2019-11-07,10:30,1,False
201900033037,75,48.8591510,2.4064600,2019-11-08,13:40,1,False
201900033046,75,48.8579035,2.2807574,2019-11-08,16:10,1,False
201900033051,75,48.8496240,2.2861540,2019-11-08,12:02,1,False
201900033053,75,48.8322300,2.2896000,2019-11-07,09:15,1,False
201900033058,75,48.8814238,2.3356149,2019-11-08,10:56,1,False
201900033087,92,48.9397543,2.3023635,2019-11-07,08:55,1,True
201900033096,59,50.9880970,2.5282030,2019-12-15,11:40,1,False
201900033098,30,44.2368020,4.6380070,2019-12-15,17:19,1,False
201900033104,49,47.4253220, -0.3434963,2019-12-03,15:25,1,False
201900033112,16,45.5181950,0.4295410,2019-12-16,14:30,1,False
201900033116,67,48.8649590,7.6814930,2019-12-11,16:40,3,False
201900033126,973,5.4786300, -53.1949470,2019-12-15,05:40,1,False
201900033138,85,46.7704100, -1.5056670,2019-12-13,10:45,1,False
201900033168,972,14.5992900, -61.0508900,2019-12-14,18:30,1,False
